Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400317_01   29.290047  -89.218377   -23.844       2.597     0.115     2.535     0.577
0210400318_01   29.694297  -89.520866   -22.034      -5.380    -3.047    -4.750    -3.959
0210400320_01   29.459496  -89.744391   -19.704       0.791     0.531     0.684     0.664
0210400321_01   29.341864  -89.634386   -26.019      -6.724    -0.288    -6.568    -1.484
0210400322_01   29.110313  -89.237663   -21.387      -2.796    -6.449    -1.598    -6.847
0210400323_01   29.408489  -89.683388   -23.142       0.484     1.661     0.179     1.722
0210400324_01   29.706945  -89.602991   -20.447       4.173     4.140     3.367     4.820
0210400332_01   29.710263  -89.656026   -16.960       1.632     1.556     1.328     1.823
0210400336_01   29.374109  -89.657499   -25.252      -2.457     5.899    -3.474     5.369
0210400337_01   29.410536  -89.649731   -23.252      -1.153    -3.259    -0.552    -3.414
0210400339_01   29.469036  -89.714349   -20.492       0.461    -1.308     0.688    -1.206
0210400340_01   29.478840  -89.587800   -19.957      -2.514    -3.060    -1.927    -3.461
0210400341_01   29.285861  -89.193683   -23.001      -1.303     0.540    -1.379     0.299
0210400343_01   29.625965  -89.727779   -28.158       1.510    -1.608     1.774    -1.314
0210400344_01   29.618635  -89.717098   -18.350       0.218     0.003     0.214     0.042
0210400345_01   29.106891  -89.265058   -23.000      -1.747    -5.014    -0.823    -5.247
0210400350_01   29.459089  -89.615448   -22.271       6.027     0.762     5.796     1.826
0210400352_01   29.705533  -89.714433   -26.817       0.352     0.303     0.292     0.361
