Mon. Aug. 24, 2020             LANDSAT 5                 Time: 20:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51EDC1010145160100_HDF.202250806
Acquisition Date: May 25, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400201_01   29.206816  -89.430110   -26.834      -1.227     0.782    -1.347     0.551
0210400204_01   29.426689  -89.693454   -18.634       1.706     1.349     1.439     1.632
0210400206_01   29.292993  -89.528067   -37.792       3.042    -1.750     3.308    -1.179
0210400207_01   29.249496  -89.185805   -24.103      -1.580     5.952    -2.619     5.576
0210400209_01   29.299264  -89.467257   -24.324       2.026     5.885     0.943     6.156
0210400211_01   29.607600  -89.660180   -38.924      -2.102     6.046    -3.149     5.577
0210400213_01   29.382293  -89.455657   -24.374      -0.139     4.518    -0.944     4.423
0210400216_01   29.717349  -89.546210   -25.105      -3.776     1.265    -3.942     0.572
0210400218_01   29.307640  -89.217231   -24.339       3.202    -2.761     3.645    -2.145
0210400221_01   29.136165  -89.196622   -22.579      -0.481     0.439    -0.552     0.347
0210400224_01   29.450346  -89.687809   -19.794      -1.079    -5.195    -0.133    -5.306
0210400226_01   29.709857  -89.608571   -17.431      -1.272     0.685    -1.373     0.448
0210400227_01   29.181154  -89.122395   -23.045      -0.084     2.716    -0.568     2.659
0210400228_01   29.382241  -89.513425   -19.096       2.770     3.660     2.072     4.098
0210400230_01   29.257292  -89.553544   -24.133      -0.116     3.125    -0.672     3.055
0210400232_01   29.730642  -89.665271   -18.792       1.414     3.107     0.837     3.311
0210400233_01   29.380252  -89.781208   -18.278      -0.956    -0.812    -0.796    -0.970
0210400237_01   29.458609  -89.557953   -25.485      -0.826     0.840    -0.963     0.679
0210400238_01   29.599796  -89.750931   -23.142      -0.176    -3.219     0.403    -3.200
0210400239_01   29.706093  -89.582884   -25.388      -4.996     3.136    -5.478     2.196
0210400241_01   29.537403  -89.691999   -25.962       0.496    -3.007     1.026    -2.872
0210400242_01   29.691525  -89.629140   -23.497       3.328    -1.270     3.504    -0.656
0210400244_01   29.308173  -89.734549   -20.922       5.213    -2.827     5.638    -1.852
0210400245_01   29.731229  -89.713274   -23.793       3.671    -1.574     3.896    -0.894
0210400246_01   29.523756  -89.749503   -18.152       0.407    -3.957     1.109    -3.823
0210400247_01   29.336722  -89.431080   -22.944       5.621    -3.324     6.127    -2.268
0210400249_01   29.450413  -89.710802   -23.462       1.795     1.399     1.518     1.699
0210400251_01   29.634279  -89.679406   -17.255      -0.399    -0.458    -0.311    -0.521
0210400252_01   29.452960  -89.526867   -25.446       4.330     4.717     3.420     5.417
0210400253_01   29.741024  -89.552705   -25.200      -2.277     0.770    -2.379     0.352
0210400254_01   29.676358  -89.686084   -22.873      -0.293    -1.407    -0.036    -1.437
0210400255_01   29.347994  -89.332183   -21.340      -1.612     1.749    -1.899     1.434
